specification,TP,TN,FP,FN,Sensitivity,Specificity,PositivePredictive,NegativePredictive,TypeI,TypeII,threshold_type,sun_threshold,p90,p85
solar_threshold,13,62,37,3,0.8125,0.6262626262626263,0.26,0.9538461538461539,0.37373737373737376,0.1875,annual_threshold,906.1,1913.3333333333333,1636.0833333333333
solar_window_±2,12,61,38,4,0.75,0.6161616161616161,0.24,0.9384615384615385,0.3838383838383838,0.25,window_around_peak,906.1,1913.3333333333333,1636.0833333333333
solar_p90,4,90,9,12,0.25,0.9090909090909091,0.3076923076923077,0.8823529411764706,0.09090909090909091,0.75,percentile,1913.3333333333333,1913.3333333333333,1636.0833333333333
solar_p85,5,85,14,11,0.3125,0.8585858585858586,0.2631578947368421,0.8854166666666666,0.1414141414141414,0.6875,percentile,1636.0833333333333,1913.3333333333333,1636.0833333333333
